GEOID,NAME,variable,estimate,moe
08061,"Kiowa County, Colorado",B19013_001,41731,5035
08063,"Kit Carson County, Colorado",B19013_001,49349,4034
08065,"Lake County, Colorado",B19013_001,50565,5331
08067,"La Plata County, Colorado",B19013_001,68685,3081
08069,"Larimer County, Colorado",B19013_001,71881,1640
08071,"Las Animas County, Colorado",B19013_001,41817,3068
08073,"Lincoln County, Colorado",B19013_001,47258,5573
08075,"Logan County, Colorado",B19013_001,53318,3595
08077,"Mesa County, Colorado",B19013_001,55379,1902
08079,"Mineral County, Colorado",B19013_001,62188,10378
08081,"Moffat County, Colorado",B19013_001,57229,6703
08083,"Montezuma County, Colorado",B19013_001,49470,3430
08085,"Montrose County, Colorado",B19013_001,50489,2510
08087,"Morgan County, Colorado",B19013_001,53682,2609
08089,"Otero County, Colorado",B19013_001,38169,2833
08091,"Ouray County, Colorado",B19013_001,66417,9235
08093,"Park County, Colorado",B19013_001,73622,5905
08095,"Phillips County, Colorado",B19013_001,51155,3191
08097,"Pitkin County, Colorado",B19013_001,78935,8840
08099,"Prowers County, Colorado",B19013_001,41929,2484
08101,"Pueblo County, Colorado",B19013_001,46783,1461
08103,"Rio Blanco County, Colorado",B19013_001,54357,6895
08105,"Rio Grande County, Colorado",B19013_001,39123,2724
08107,"Routt County, Colorado",B19013_001,77443,3722
08109,"Saguache County, Colorado",B19013_001,38571,4811
08111,"San Juan County, Colorado",B19013_001,54625,8498
08113,"San Miguel County, Colorado",B19013_001,67038,6786
08115,"Sedgwick County, Colorado",B19013_001,43150,5088
08117,"Summit County, Colorado",B19013_001,79277,3671
08119,"Teller County, Colorado",B19013_001,66592,3958
08121,"Washington County, Colorado",B19013_001,50094,3511
08123,"Weld County, Colorado",B19013_001,74150,1069
08125,"Yuma County, Colorado",B19013_001,52022,3630
09001,"Fairfield County, Connecticut",B19013_001,95645,1039
09003,"Hartford County, Connecticut",B19013_001,75148,890
09005,"Litchfield County, Connecticut",B19013_001,79906,2031
09007,"Middlesex County, Connecticut",B19013_001,85898,2013
09009,"New Haven County, Connecticut",B19013_001,69905,894
09011,"New London County, Connecticut",B19013_001,73490,1433
09013,"Tolland County, Connecticut",B19013_001,87069,1822
09015,"Windham County, Connecticut",B19013_001,66550,2060
10001,"Kent County, Delaware",B19013_001,60910,1897
10003,"New Castle County, Delaware",B19013_001,73892,1210
10005,"Sussex County, Delaware",B19013_001,63162,1246
11001,"District of Columbia, District of Columbia",B19013_001,86420,1008
12001,"Alachua County, Florida",B19013_001,49689,1364
12003,"Baker County, Florida",B19013_001,63275,5641
12005,"Bay County, Florida",B19013_001,54316,1400
12007,"Bradford County, Florida",B19013_001,45921,4718
12009,"Brevard County, Florida",B19013_001,56775,1142
12011,"Broward County, Florida",B19013_001,59547,722
12013,"Calhoun County, Florida",B19013_001,38568,3601
12015,"Charlotte County, Florida",B19013_001,51499,1195
12017,"Citrus County, Florida",B19013_001,44237,1416
12019,"Clay County, Florida",B19013_001,65740,1631
12021,"Collier County, Florida",B19013_001,69653,1389
12023,"Columbia County, Florida",B19013_001,46494,2732
12027,"DeSoto County, Florida",B19013_001,35438,1979
12029,"Dixie County, Florida",B19013_001,39828,2348
12031,"Duval County, Florida",B19013_001,55807,639
12033,"Escambia County, Florida",B19013_001,50915,851
12035,"Flagler County, Florida",B19013_001,54514,1988
12037,"Franklin County, Florida",B19013_001,46643,4905
12039,"Gadsden County, Florida",B19013_001,41401,1970
12041,"Gilchrist County, Florida",B19013_001,43640,2328
12043,"Glades County, Florida",B19013_001,40977,3405
12045,"Gulf County, Florida",B19013_001,47712,3899
12047,"Hamilton County, Florida",B19013_001,38569,5203
12049,"Hardee County, Florida",B19013_001,38682,2556
12051,"Hendry County, Florida",B19013_001,40820,2424
12053,"Hernando County, Florida",B19013_001,48812,1209
12055,"Highlands County, Florida",B19013_001,40942,1641
12057,"Hillsborough County, Florida",B19013_001,58884,776
12059,"Holmes County, Florida",B19013_001,39102,4454
12061,"Indian River County, Florida",B19013_001,54740,1707
12063,"Jackson County, Florida",B19013_001,39872,2267
12065,"Jefferson County, Florida",B19013_001,47240,7465
12067,"Lafayette County, Florida",B19013_001,50165,9268
12069,"Lake County, Florida",B19013_001,54513,1425
12071,"Lee County, Florida",B19013_001,57832,825
12073,"Leon County, Florida",B19013_001,53106,962
12075,"Levy County, Florida",B19013_001,37326,1840
12077,"Liberty County, Florida",B19013_001,38015,3066
12079,"Madison County, Florida",B19013_001,37037,3615
12081,"Manatee County, Florida",B19013_001,59009,1182
12083,"Marion County, Florida",B19013_001,45371,898
12085,"Martin County, Florida",B19013_001,61133,1643
12086,"Miami-Dade County, Florida",B19013_001,51347,459
12087,"Monroe County, Florida",B19013_001,70033,2233
12089,"Nassau County, Florida",B19013_001,69943,2887
12091,"Okaloosa County, Florida",B19013_001,63412,1330
12093,"Okeechobee County, Florida",B19013_001,41760,2208
12095,"Orange County, Florida",B19013_001,58254,787
12097,"Osceola County, Florida",B19013_001,52279,1510
12099,"Palm Beach County, Florida",B19013_001,63299,600
12101,"Pasco County, Florida",B19013_001,52828,824
12103,"Pinellas County, Florida",B19013_001,54090,501
12105,"Polk County, Florida",B19013_001,50584,745
12107,"Putnam County, Florida",B19013_001,37670,2268
12109,"St. Johns County, Florida",B19013_001,82252,2741
12111,"St. Lucie County, Florida",B19013_001,52322,1459
12113,"Santa Rosa County, Florida",B19013_001,67949,1768
12115,"Sarasota County, Florida",B19013_001,62236,1221
12117,"Seminole County, Florida",B19013_001,66768,1275
12119,"Sumter County, Florida",B19013_001,57226,2594
12121,"Suwannee County, Florida",B19013_001,47839,3831
12123,"Taylor County, Florida",B19013_001,40306,4867
12125,"Union County, Florida",B19013_001,44270,4260
12127,"Volusia County, Florida",B19013_001,49494,741
12129,"Wakulla County, Florida",B19013_001,61410,3327
12131,"Walton County, Florida",B19013_001,58093,3110
12133,"Washington County, Florida",B19013_001,37022,2500
13001,"Appling County, Georgia",B19013_001,40304,5180
13003,"Atkinson County, Georgia",B19013_001,37197,3686
13005,"Bacon County, Georgia",B19013_001,37519,5492
13007,"Baker County, Georgia",B19013_001,32917,6967
13009,"Baldwin County, Georgia",B19013_001,43672,3736
13011,"Banks County, Georgia",B19013_001,47811,3240
13013,"Barrow County, Georgia",B19013_001,62345,2204
13015,"Bartow County, Georgia",B19013_001,57423,2743
13017,"Ben Hill County, Georgia",B19013_001,32229,3845
13019,"Berrien County, Georgia",B19013_001,40415,3024
13021,"Bibb County, Georgia",B19013_001,41334,1410
13023,"Bleckley County, Georgia",B19013_001,48174,5073
13025,"Brantley County, Georgia",B19013_001,38857,3480
13027,"Brooks County, Georgia",B19013_001,38285,4839
13029,"Bryan County, Georgia",B19013_001,72624,5926
13031,"Bulloch County, Georgia",B19013_001,45550,2531
13033,"Burke County, Georgia",B19013_001,44151,2438
13035,"Butts County, Georgia",B19013_001,43471,3413
13037,"Calhoun County, Georgia",B19013_001,34167,7088
13039,"Camden County, Georgia",B19013_001,56951,3786
13043,"Candler County, Georgia",B19013_001,33736,4663
13045,"Carroll County, Georgia",B19013_001,53737,2418
13047,"Catoosa County, Georgia",B19013_001,56235,2290
13049,"Charlton County, Georgia",B19013_001,41961,3287
13051,"Chatham County, Georgia",B19013_001,56842,1610
13053,"Chattahoochee County, Georgia",B19013_001,47096,5158
13055,"Chattooga County, Georgia",B19013_001,36807,2268
13057,"Cherokee County, Georgia",B19013_001,82740,1762
13059,"Clarke County, Georgia",B19013_001,38623,1685
13061,"Clay County, Georgia",B19013_001,22325,4126
13063,"Clayton County, Georgia",B19013_001,47864,1037
13065,"Clinch County, Georgia",B19013_001,27658,7844
13067,"Cobb County, Georgia",B19013_001,77932,976
13069,"Coffee County, Georgia",B19013_001,40859,1870
13071,"Colquitt County, Georgia",B19013_001,36435,1962
13073,"Columbia County, Georgia",B19013_001,82339,3532
13075,"Cook County, Georgia",B19013_001,41854,6613
13077,"Coweta County, Georgia",B19013_001,75913,1688
13079,"Crawford County, Georgia",B19013_001,46283,6099
13081,"Crisp County, Georgia",B19013_001,36042,3020
13083,"Dade County, Georgia",B19013_001,42581,3455
13085,"Dawson County, Georgia",B19013_001,66281,5007
13087,"Decatur County, Georgia",B19013_001,41481,3584
13089,"DeKalb County, Georgia",B19013_001,62399,935
13091,"Dodge County, Georgia",B19013_001,39302,3308
13093,"Dooly County, Georgia",B19013_001,37340,4827
13095,"Dougherty County, Georgia",B19013_001,39584,1655
13097,"Douglas County, Georgia",B19013_001,63835,1777
13099,"Early County, Georgia",B19013_001,30640,4145
13101,"Echols County, Georgia",B19013_001,39494,7406
13103,"Effingham County, Georgia",B19013_001,66822,3071
13105,"Elbert County, Georgia",B19013_001,38678,3922
13107,"Emanuel County, Georgia",B19013_001,37453,2873
13109,"Evans County, Georgia",B19013_001,42607,6635
13111,"Fannin County, Georgia",B19013_001,47997,3780
13113,"Fayette County, Georgia",B19013_001,90145,3074
